num_intersections
1000
"0,138"
"1,238"
"2,226"
"3,310"
"4,623"
"5,300"
"6,259"
"7,281"
"8,270"
"9,320"
"10,336"
"11,0"
"12,330"
"13,322"
"14,441"
"15,324"
"16,314"
"17,222"
"18,370"
"19,474"
"20,582"
"21,266"
"22,125"
"23,92"
"24,138"
"25,509"
"26,175"
"27,214"
"28,323"
"29,386"
"30,505"
"31,342"
"32,191"
"33,262"
"34,432"
"35,290"
"36,261"
"37,516"
"38,102"
"39,195"
"40,241"
"41,416"
"42,340"
"43,173"
"44,226"
"45,112"
"46,138"
"47,232"
"48,127"
"49,194"
"50,441"
"51,118"
"52,216"
"53,424"
"54,242"
"55,258"
"56,279"
"57,405"
"58,201"
"59,417"
"60,251"
"61,216"
"62,273"
"63,469"
"64,366"
"65,389"
"66,278"
"67,133"
"68,356"
"69,161"
"70,172"
"71,238"
"72,218"
"73,373"
"74,303"
"75,459"
"76,143"
"77,294"
"78,268"
"79,224"
"80,318"
"81,364"
"82,153"
"83,354"
"84,308"
"85,207"
"86,458"
"87,311"
"88,322"
"89,362"
"90,385"
"91,460"
"92,289"
"93,207"
"94,354"
"95,264"
"96,163"
"97,157"
"98,469"
"99,535"
"100,326"
"101,498"
"102,312"
"103,253"
"104,211"
"105,294"
"106,112"
"107,405"
"108,356"
"109,129"
"110,226"
"111,254"
"112,384"
"113,226"
"114,267"
"115,158"
"116,207"
"117,399"
"118,297"
"119,344"
"120,393"
"121,257"
"122,133"
"123,292"
"124,209"
"125,214"
"126,198"
"127,482"
"128,599"
"129,224"
"130,357"
"131,261"
"132,369"
"133,217"
"134,290"
"135,159"
"136,359"
"137,431"
"138,368"
"139,333"
"140,174"
"141,471"
"142,508"
"143,382"
"144,355"
"145,273"
"146,237"
"147,151"
"148,247"
"149,386"
"150,228"
"151,152"
"152,314"
"153,337"
"154,171"
"155,394"
"156,278"
"157,204"
"158,289"
"159,404"
"160,408"
"161,223"
"162,623"
"163,72"
"164,324"
"165,308"
"166,81"
"167,256"
"168,266"
"169,169"
"170,447"
"171,500"
"172,145"
"173,135"
"174,355"
"175,192"
"176,277"
"177,330"
"178,496"
"179,422"
"180,248"
"181,512"
"182,537"
"183,154"
"184,165"
"185,366"
"186,372"
"187,244"
"188,240"
"189,398"
"190,301"
"191,271"
"192,382"
"193,174"
"194,200"
"195,325"
"196,247"
"197,377"
"198,297"
"199,294"
"200,225"
"201,226"
"202,278"
"203,270"
"204,145"
"205,25"
"206,241"
"207,465"
"208,528"
"209,354"
"210,40"
"211,566"
"212,245"
"213,398"
"214,343"
"215,348"
"216,233"
"217,243"
"218,438"
"219,324"
"220,0"
"221,347"
"222,349"
"223,457"
"224,423"
"225,290"
"226,357"
"227,264"
"228,211"
"229,94"
"230,308"
"231,424"
"232,236"
"233,287"
"234,189"
"235,148"
"236,337"
"237,439"
"238,343"
"239,203"
"240,180"
"241,307"
"242,396"
"243,332"
"244,410"
"245,316"
"246,359"
"247,379"
"248,305"
"249,279"
"250,566"
"251,252"
"252,276"
"253,238"
"254,415"
"255,467"
"256,90"
"257,107"
"258,332"
"259,322"
"260,304"
"261,0"
"262,333"
"263,348"
"264,312"
"265,219"
"266,230"
"267,378"
"268,272"
"269,162"
"270,421"
"271,511"
"272,329"
"273,379"
"274,200"
"275,275"
"276,470"
"277,282"
"278,24"
"279,177"
"280,143"
"281,367"
"282,159"
"283,55"
"284,112"
"285,84"
"286,403"
"287,332"
"288,353"
"289,262"
"290,275"
"291,222"
"292,165"
"293,294"
"294,254"
"295,261"
"296,319"
"297,196"
"298,341"
"299,343"
"300,399"
"301,488"
"302,431"
"303,413"
"304,215"
"305,436"
"306,242"
"307,226"
"308,402"
"309,135"
"310,204"
"311,70"
"312,248"
"313,214"
"314,307"
"315,308"
"316,27"
"317,272"
"318,439"
"319,366"
"320,210"
"321,237"
"322,427"
"323,440"
"324,193"
"325,440"
"326,237"
"327,211"
"328,224"
"329,275"
"330,296"
"331,238"
"332,225"
"333,318"
"334,493"
"335,261"
"336,221"
"337,499"
"338,325"
"339,238"
"340,392"
"341,249"
"342,299"
"343,172"
"344,357"
"345,425"
"346,258"
"347,497"
"348,327"
"349,367"
"350,153"
"351,210"
"352,331"
"353,312"
"354,261"
"355,133"
"356,334"
"357,343"
"358,300"
"359,139"
"360,238"
"361,309"
"362,273"
"363,365"
"364,271"
"365,329"
"366,171"
"367,210"
"368,236"
"369,380"
"370,208"
"371,336"
"372,202"
"373,70"
"374,410"
"375,116"
"376,301"
"377,380"
"378,351"
"379,382"
"380,473"
"381,102"
"382,466"
"383,342"
"384,205"
"385,589"
"386,353"
"387,310"
"388,392"
"389,82"
"390,326"
"391,191"
"392,434"
"393,410"
"394,152"
"395,304"
"396,174"
"397,313"
"398,427"
"399,427"
"400,145"
"401,281"
"402,375"
"403,365"
"404,166"
"405,383"
"406,392"
"407,513"
"408,317"
"409,409"
"410,431"
"411,240"
"412,401"
"413,371"
"414,322"
"415,329"
"416,253"
"417,141"
"418,348"
"419,28"
"420,225"
"421,195"
"422,234"
"423,176"
"424,59"
"425,280"
"426,215"
"427,273"
"428,338"
"429,301"
"430,395"
"431,152"
"432,542"
"433,360"
"434,327"
"435,264"
"436,285"
"437,558"
"438,264"
"439,306"
"440,171"
"441,474"
"442,287"
"443,236"
"444,300"
"445,421"
"446,409"
"447,243"
"448,0"
"449,204"
"450,182"
"451,389"
"452,356"
"453,447"
"454,162"
"455,376"
"456,212"
"457,287"
"458,215"
"459,270"
"460,292"
"461,379"
"462,24"
"463,349"
"464,232"
"465,197"
"466,372"
"467,471"
"468,140"
"469,350"
"470,233"
"471,337"
"472,446"
"473,332"
"474,396"
"475,338"
"476,371"
"477,442"
"478,215"
"479,60"
"480,194"
"481,274"
"482,321"
"483,203"
"484,245"
"485,620"
"486,378"
"487,360"
